noise,D,mult,delta,det_rate,n,mc_se,ttd_q25,ttd_q50,ttd_q75
gaussian,60,0.5,0.41313482216708025,0.001,10000,0.00031606961258558218,56.5,58,59.75
gaussian,60,1,0.8262696443341605,0.49199999999999999,10000,0.0049993599590347562,47,52,56
gaussian,60,1.5,1.2394044665012407,0.99929999999999997,10000,0.00026448251359967713,32,36,40
gaussian,120,0.5,0.26546919976971795,0.002,10000,0.0004467661580737735,97.25,106.5,113
gaussian,120,1,0.53093839953943589,0.50139999999999996,10000,0.004999980399961584,85,98,109
gaussian,120,1.5,0.79640759930915384,0.99939999999999996,10000,0.00024487547856003158,55,64,74
gaussian,240,0.5,0.18504251700680271,0.0020999999999999999,10000,0.00045777614616753458,182,194,214
gaussian,240,1,0.37008503401360543,0.51019999999999999,10000,0.0049989594917342547,155,187,214
gaussian,240,1.5,0.55512755102040812,0.99829999999999997,10000,0.00041195994950966224,91,111,135
t5,120,0.5,0.26546919976971795,0.0015,10000,0.00038700775186034712,101,107,114.5
t5,120,1,0.53093839953943589,0.50470000000000004,10000,0.004999779095120103,85,98,109
t5,120,1.5,0.79640759930915384,0.99850000000000005,10000,0.00038700775186034013,55,63,74
