lam_arr,trials_def,moments,power,n_disc,n_false,fdp_mean,guard_count
0.5,n_reg,empirical,0.0020225817923186346,113,22,0.043,0
0.5,n_reg,normal,0.0005778805120910384,26,0,0.0,0
0.5,J=212,empirical,0.0018892247510668564,107,22,0.043,0
0.5,J=212,normal,0.0004889758179231863,22,0,0.0,0
0.5,n_arrived,empirical,0.0020225817923186346,113,22,0.043,0
0.5,n_arrived,normal,0.0005778805120910384,26,0,0.0,0
1.0,n_reg,empirical,5.6809574306923196e-05,3,0,0.0,0
1.0,n_reg,normal,3.78730495379488e-05,2,0,0.0,0
1.0,J=212,empirical,5.6809574306923196e-05,3,0,0.0,0
1.0,J=212,normal,3.78730495379488e-05,2,0,0.0,0
1.0,n_arrived,empirical,1.89365247689744e-05,1,0,0.0,0
1.0,n_arrived,normal,0.0,0,0,0.0,0
2.0,n_reg,empirical,3.795858718138511e-05,2,0,0.0,0
2.0,n_reg,normal,3.795858718138511e-05,2,0,0.0,0
2.0,J=212,empirical,3.795858718138511e-05,2,0,0.0,0
2.0,J=212,normal,3.795858718138511e-05,2,0,0.0,0
2.0,n_arrived,empirical,0.0,0,0,0.0,0
2.0,n_arrived,normal,0.0,0,0,0.0,0
